Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL1570633,COc1cccc(-c2cc(NCc3cccnc3)ncn2)c1,5.4
CHEMBL492121,COc1ccccc1CNc1ncnc2ccc(-c3ccccc3CN(C)C)cc12,4.9
CHEMBL1319383,N[C@H](CCP(=O)(O)O)C(=O)O,4.4
CHEMBL1355201,COc1ccc(-c2nc3cnc(Nc4cccc(OC)c4)nc3n(Cc3cccs3)c2=O)cc1,5.2
CHEMBL1257014,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1,4.6
CHEMBL1551616,COc1ccccc1CN1CC[C@@]2(CCCN(C(=O)c3cccc(F)c3)C2)C1,4.8
CHEMBL1447808,COC(=O)[C@@H]1C[C@@H]2CC[C@@H](O)C[C@@H]2N1Cc1ccc(OC)cc1,4.8
CHEMBL1411094,N#CCCn1c(=O)c(CCc2ccccc2)nc2cnc(Oc3ccccc3)nc21,5.6
CHEMBL1551633,COCCn1c(=O)c(-c2cccc(C#N)c2)nc2cnc(Oc3ccccc3)nc21,4.6
CHEMBL2374256,O=c1cccc2n1C[C@H]1CNC[C@H]2C1,4.5
CHEMBL1400043,COc1ncc2ncc(=O)n(CCc3ccccc3)c2n1,4.8
CHEMBL1371677,O=P(N[C@@H](c1ccccc1)[C@@H]1C[C@H]1CO)(c1ccccc1)c1ccccc1,4.8
CHEMBL440084,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,5
CHEMBL1512582,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H](O)CC[C@H]12,4.6
CHEMBL1590397,COc1ccccc1CCn1c(=O)c(-c2cccc(F)c2)nc2cncnc21,5.5
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,4.6
CHEMBL259847,CCCCNC(=O)C(c1ccc(OCC(=O)OC)c(C(=O)OC)c1)N(Cc1ccccc1)C(=O)CCCCCN1C(=O)NC(c2ccc(-c3ccccc3)cc2)C(C(=O)OCc2ccccc2)=C1C,5.3
CHEMBL1318045,COc1ccccc1CNc1nc(-c2ccc(C(=O)N(C)C)cc2)nc2ccccc12,4.7
CHEMBL1593547,COCCn1c(=O)c(-c2cccs2)nc2cnc(Oc3ccccc3)nc21,4.7
CHEMBL1523104,COC(=O)[C@@]1(C)C=C[C@@H](Cc2ccccc2)N1C(C)=O,4.5
CHEMBL1316033,N#Cc1ccc(CN2CCCC3(CCN(C(=O)c4csnn4)CC3)C2)cc1,5
CHEMBL1562290,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,4.8
CHEMBL1554680,COC(=O)c1ccc(C(NC(=O)OCc2ccccc2)/C(C)=C/[C@@H](C)C(=O)NCc2cc(C)on2)cc1,5.7
CHEMBL1476267,CCCCCCC#CC1C=CC(OC(C)=O)C(COC(C)=O)O1,5.4
CHEMBL1357930,CC1=C2[C@@H]3OC(=O)[C@H](C)[C@H]3CC[C@@]2(C)C=CC1=O,4.5
CHEMBL1372309,C(=N\Nc1ccccn1)\c1cccnc1,5.4
CHEMBL1612590,CC1Cc2c(-c3ccccc3)nc3c(c2CO1)CN(CCOc1ccccc1)CC3,5.4
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5.6
CHEMBL1562090,Cc1nc(NC2CCCCC2)c2nc(-c3ccccc3)n(CCCN(C)C)c2n1,4.7
CHEMBL1561922,N#Cc1cccc(NC(=O)N2CCC3(CC2)CCN(C(=O)c2cccc(F)c2)CC3)c1,5.1
CHEMBL1366408,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O,5
CHEMBL1200467,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.7
CHEMBL1417375,OC(Cc1cccnc1)(c1ccccc1)c1ccccc1,6.3
CHEMBL1256516,N[C@@H](Cc1cc(O)c(O)cc1O)C(=O)O,4.8
CHEMBL242385,O=c1cc(-c2ccccc2O)oc2cc(O)cc(O)c12,5.4
CHEMBL1573712,Cc1nc(NCc2ccccc2)c2nc(-c3ccccc3)n(CCCN(C)C)c2n1,4.9
CHEMBL1490268,CCc1cccc2nc3c(c([Si](C)(C)C)c12)Cn1c-3cccc1=O,4.9
CHEMBL113142,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,4.8
CHEMBL1330456,COC(c1ccccc1)C(C)C(OC)C(C)C(OC)C(C)C(C)=O,5.4
CHEMBL23576,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12,4.5
